Lot #,id,Reg #,name,Birthday,ProS,ProS%,HB,HB%,GM,GM%,CED,CED%,BW,BW%,WW,WW%,YW,YW%,ADG,ADG%,DMI,DMI%,M,M%,ME,ME%,HPG,HPG%,CEM,CEM%,ST,ST%,MA,MA%,YG,YG%,CW,CW%,REA,REA%,FT,FT%,bw,bw_a,bw_r,ww,ww_a,ww_r,yw,yw_a,yw_r,adg,adg_r,wda,wda_r,scr_a,us_mb_a,us_mb_r,us_rea_a,us_rea_r,us_ft_a,us_ft_r,sirereg#,sire_name,geneticdam_reg#,geneticdam_Name,geneticdam_bdate,dmppa
11,N2,5135007,LOOSLI JM IGNITE N2,12-28-2024,109,42,63,31,47,62,22,1,-3.6,19,73,25,120,23,0.29,22,0.52,26,27,34,11,86,9,89,9,13,19,8,0.48,40,0.17,95,14,79,-0.09,88,0.05,97,80,80,99,840,712,99,1164,1049,101,2.1,105,2.1,105,38.74,4.14,131,11.91,92,0.26,117,4633943,MEEK IGNITE K3,3907045,MISS LOOSLI BROOK 8153,03-31-2018,102
12,513,5174169,LOOSLI COMPLETE 513,01-24-2025,86,77,58,39,27,92,14,37,-2.4,39,70,35,115,31,0.28,27,1,79,31,9,13,91,14,13,6,67,17,22,0.21,94,0.06,59,19,62,0.13,49,0.03,76,80,82,96,713,700,105,1075,1066,100,2.28,90,2.28,90,37.11,3.07,80,12.4,103,0.26,100,4543551,TKP COMPLETE 1595,4516939,MISS LOOSLI ULTIMATUM 1162,03-25-2021,99
13,509,5174161,LOOSLI FLASHDRIVE 509,01-24-2025,149,6,64,29,85,5,16,18,-4.2,13,80,10,126,14,0.28,24,1.29,94,34,2,16,96,12,35,10,6,17,27,0.83,5,0.18,96,49,2,0.46,5,0.06,99,85,85,100,749,713,107,1170,1137,106,2.65,104,2.65,104,34.11,5.55,144,12.68,106,0.34,131,4789398,BIEBER FLASHDRIVE L179,4131656,MISS LOOSLI TRIAD 932,01-23-2019,105
14,552,5174241,LOOSLI COMPLETE 552,02-02-2025,109,43,37,78,72,15,7,93,0.9,91,89,2,152,1,0.39,1,1.15,89,32,6,15,95,15,8,3,98,14,58,0.48,40,0.31,99,47,2,-0.22,97,0.03,83,90,91,107,702,710,107,1160,1172,109,2.88,113,2.88,113,34.4,2.88,75,10.28,86,0.25,97,4543551,TKP COMPLETE 1595,4516917,MISS LOOSLI ULTIMATUM 105,01-18-2021,108
15,526,5174193,LOOSLI ADVANTAGE 526,01-27-2025,108,44,75,14,33,86,15,31,-2.6,35,71,33,104,54,0.2,77,0.92,72,33,3,2,41,13,27,9,15,16,32,0.36,74,0.08,68,26,35,-0.02,79,0,29,85,85,100,721,695,104,1130,1107,103,2.57,101,2.57,101,40.21,4.19,109,12.21,102,0.3,116,4766803,VGW ADVANTAGE 343,4131762,MISS LOOSLI SAGA 983,02-28-2019,101
16,553,5174243,LOOSLI COMPLETE 553,02-03-2025,133,15,91,4,42,72,15,24,-2.1,44,67,47,112,37,0.28,27,0.94,74,32,4,8,76,13,27,8,29,21,2,0.44,48,0.2,98,19,65,-0.29,98,0.03,77,86,86,101,632,625,94,1110,1106,103,3.01,119,3.01,119,37.94,3.74,97,10.86,91,0.26,101,4543551,TKP COMPLETE 1595,3906823,MISS LOOSLI FRONTIER 882,03-02-2018,100
17,527,5174195,LOOSLI ADVANTAGE 527,01-27-2025,145,8,111,1,34,85,19,5,-4.7,8,64,61,94,74,0.19,84,1.04,82,33,3,4,53,13,19,11,2,22,1,0.54,30,0.22,99,20,60,-0.23,97,0.04,92,83,83,97,704,679,102,1095,1073,100,2.46,97,2.46,97,36.71,3.05,79,10.87,91,0.26,100,4766803,VGW ADVANTAGE 343,4131746,MISS LOOSLI TRIAD 975,02-20-2019,101
18,549,5174235,LOOSLI COMPLETE 549,02-02-2025,85,77,31,86,54,44,13,52,-1.1,64,80,10,136,6,0.35,4,1.06,84,33,3,15,94,12,34,6,62,13,78,0.53,32,0.26,99,24,48,-0.19,96,0.05,98,80,88,103,686,755,113,1055,1128,105,2.32,91,2.32,91,37.9,5.35,139,11.83,99,0.34,133,4543551,TKP COMPLETE 1595,4838740,MISS LOOSLI AGENT 3149,03-31-2023,105
19,554,5174245,LOOSLI COMPLETE 554,02-03-2025,107,46,59,37,47,60,11,64,-2.2,43,78,14,123,18,0.28,25,1.12,87,30,13,13,90,16,4,7,51,15,46,0.5,37,0.17,95,27,32,-0.04,82,0.03,86,87,87,102,738,729,110,1080,1073,100,2.15,85,2.15,85,34.44,3.82,99,11.94,100,0.34,133,4543551,TKP COMPLETE 1595,3907251,MISS LOOSLI BOURNE 828,01-28-2018,105
20,557,5174251,LOOSLI FLASHDRIVE 557,02-03-2025,133,15,78,11,54,42,12,63,-2.7,34,77,17,127,13,0.32,10,1.39,97,30,15,17,97,12,36,8,39,21,3,0.45,47,0.11,80,32,17,0.23,30,0.03,88,86,87,102,643,643,97,1110,1114,104,2.94,116,2.94,116,33.94,2.6,67,11.78,98,0.28,109,4789398,BIEBER FLASHDRIVE L179,3571532,MISS LOOSLI FRONTIER 648,02-11-2016,103
21,567,5174271,LOOSLI COMPLETE 567,02-07-2025,123,24,38,77,85,5,7,91,1.1,93,88,3,156,1,0.43,1,1.18,91,28,23,13,92,14,13,4,93,14,63,0.56,27,0.2,98,43,4,0.04,67,0.03,83,92,96,112,591,636,96,1110,1160,108,3.26,128,3.26,128,34.56,3.67,95,12.21,102,0.41,161,4543551,TKP COMPLETE 1595,4598657,MISS LOOSLI TRIAD 2101,02-23-2022,98
22,570,5174277,LOOSLI LEAD 570,02-07-2025,160,3,99,1,61,30,11,72,-0.8,70,82,8,135,6,0.33,6,1,80,29,23,9,79,15,8,6,67,22,1,0.32,80,0.09,72,42,5,0.27,25,0.02,59,90,91,107,712,730,110,1255,1279,119,3.42,135,3.42,135,39.56,3.68,95,13.42,112,0.32,125,4838476,LOOSLI LEAD OFF 333,1716938,MISS LOOSLI ON EDGE 409,01-23-2014,108
23,586,5174307,LOOSLI REALITY 586,02-12-2025,154,4,46,62,108,1,3,99,4.4,99,102,1,171,1,0.43,1,1.05,83,29,22,11,85,14,11,5,88,14,62,0.71,12,0.02,33,55,1,0.64,1,0.01,52,109,109,128,732,750,113,1155,1176,110,2.66,105,2.66,105,37.23,3.69,96,12.52,104,0.23,91,4793644,5L GENUINE 281-52L,3907185,MISS LOOSLI BOURNE 845,01-31-2018,107
24,N11,5135019,LOOSLI JM IGNITE N11,02-26-2025,119,29,53,49,66,22,18,9,-4.8,8,75,21,114,32,0.24,50,0.61,35,28,30,7,71,11,65,10,4,14,61,0.56,27,0.05,52,32,18,0.22,33,0.01,47,80,84,104,715,803,112,1075,1179,114,2.34,117,2.34,117,37.18,3.26,103,12.77,99,0.21,97,4633943,MEEK IGNITE K3,4633963,MEEK SLEEK ET 8K,02-20-2022,107
25,571,5174279,LOOSLI REALITY 571,02-08-2025,150,6,69,21,81,7,16,20,-2.3,41,94,1,153,1,0.36,2,1.09,85,27,36,10,83,12,36,10,4,15,44,0.77,8,0.14,91,36,10,0.15,45,0.03,85,74,81,95,634,713,107,1125,1209,113,3.09,122,3.09,122,35.1,5.05,131,12.38,103,0.44,172,4793644,5L GENUINE 281-52L,4838780,MISS LOOSLI FOREMAN 326,01-30-2023,103
26,5108,5174349,LOOSLI ADVANTAGE 5108,02-26-2025,57,97,49,56,8,99,11,67,-0.4,77,85,5,120,22,0.22,67,1.1,86,29,22,8,73,11,53,6,73,15,53,0.32,80,0.03,36,12,83,0.07,61,0.01,52,95,96,112,708,790,119,995,1080,101,1.81,71,1.81,71,35.68,3.44,89,12.87,107,0.21,84,4766803,VGW ADVANTAGE 343,4516901,MISS LOOSLI SPARTACUS 114,01-20-2021,104
27,507,5174159,LOOSLI HARD DRIVE 507,01-24-2025,151,6,61,33,90,3,14,36,-1.9,49,82,8,130,10,0.3,15,1.13,88,27,41,13,91,13,22,7,49,17,27,0.8,6,-0.03,16,40,6,0.62,1,0.02,59,83,84,98,656,632,95,1090,1069,100,2.73,108,2.73,108,34.61,4.57,119,11.55,96,0.34,131,4704229,PIE HARD DRIVE 2052,4281431,MISS LOOSLI STILLWATER 071,02-16-2020,95
28,563,5174263,LOOSLI FLASHDRIVE 563,02-06-2025,113,37,50,55,63,26,13,53,-2.6,35,65,55,106,48,0.26,41,1.27,94,36,1,18,98,12,47,8,31,17,28,0.68,14,0.08,66,25,38,0.26,26,0.04,91,88,88,103,720,722,108,1060,1064,99,2.14,84,2.14,84,33.03,3.76,98,12.31,103,0.26,102,4789398,BIEBER FLASHDRIVE L179,4131776,MISS LOOSLI DIESEL 990,03-03-2019,107
29,5130,5174393,LOOSLI FLASHDRIVE 5130,03-11-2025,134,14,51,52,83,6,13,47,-0.8,70,89,2,143,3,0.34,6,1.32,95,29,21,14,92,11,54,8,25,15,55,0.76,8,0.05,49,40,6,0.38,10,0.02,58,87,87,102,606,706,106,1035,1138,106,2.7,106,2.7,106,36.1,3.48,90,13.04,109,0.24,94,4789398,BIEBER FLASHDRIVE L179,4281313,MISS LOOSLI TRIAD 038,01-30-2020,101
30,528,5174197,LOOSLI COMPLETE 528,01-27-2025,83,80,23,93,60,32,14,35,-2.4,39,77,17,135,7,0.36,2,1.15,89,31,9,16,96,11,62,7,56,12,80,0.45,47,0.19,97,28,27,-0.09,88,0.03,83,87,87,102,696,671,101,1170,1148,107,2.98,117,2.98,117,36.21,2.73,71,10.79,90,0.26,100,4543551,TKP COMPLETE 1595,4131828,MISS LOOSLI MERLIN 9116,03-10-2019,102
31,555,5174247,LOOSLI LEAD 555,02-03-2025,169,1,83,8,86,4,12,61,-2.3,41,84,5,137,5,0.33,7,1.12,87,25,52,9,77,14,13,8,29,18,13,0.64,18,0.08,66,48,2,0.28,24,0,33,80,88,103,641,710,107,1055,1129,105,2.6,102,2.6,102,33.44,4.91,127,11.2,93,0.26,101,4838476,LOOSLI LEAD OFF 333,4838924,MISS LOOSLI PROFITEER 398,02-28-2023,103
32,5110,5174353,LOOSLI FLASHDRIVE 5110,02-28-2025,106,47,33,84,73,13,12,55,-0.4,77,79,12,129,11,0.31,12,1.64,99,29,22,21,99,10,75,7,45,15,55,0.89,3,0.11,82,30,23,0.14,47,0.03,82,84,84,98,644,707,106,1060,1126,105,2.62,103,2.62,103,35.25,5.24,136,12.5,104,0.24,92,4789398,BIEBER FLASHDRIVE L179,3907449,MISS LOOSLI REAL DEAL 8124,03-18-2018,108
33,5148,5174429,LOOSLI COLLUSION 5148,03-20-2025,163,2,67,24,95,2,12,59,-1.3,59,74,23,127,13,0.33,6,0.95,75,22,84,6,63,10,77,6,77,19,9,0.79,7,0.13,87,39,7,0.13,49,0.02,64,90,90,105,581,706,106,1060,1188,111,3.01,119,3.01,119,37.39,5.45,142,11.71,98,0.3,118,4534673,C-BAR FORTUNE 263J,4281241,MISS LOOSLI TRIAD 002,01-14-2020,102
34,583,5174303,LOOSLI FOREMAN 583,02-11-2025,93,67,43,68,50,54,10,74,-1.1,64,86,4,144,3,0.36,3,1.09,85,22,81,10,81,16,2,5,81,12,81,0.34,77,0.12,84,29,25,0.03,69,0.02,62,81,89,104,606,696,105,1080,1175,110,2.98,117,2.98,117,32.19,3.57,93,11.94,100,0.23,90,3744501,5L FOREMAN 2174-370E,4838688,MISS LOOSLI ULTIMATUM 3124,03-16-2023,102
35,543,5174223,LOOSLI ADVANTAGE 543,01-31-2025,119,28,65,27,55,41,23,1,-5.8,3,73,25,106,48,0.21,77,1.04,82,34,2,5,59,17,2,9,14,16,42,0.81,6,0.09,73,21,58,0.01,73,0.02,62,58,58,68,611,596,90,1040,1028,96,2.7,106,2.7,106,22.34,5.32,138,11.87,99,0.24,93,4766803,VGW ADVANTAGE 343,3907341,MISS LOOSLI BOURNE 829,01-28-2018,99
36,558,5174253,LOOSLI COMPLETE 558,02-02-2025,145,8,75,14,70,17,16,18,-3,29,70,34,122,19,0.32,9,1.15,89,27,38,12,87,14,11,7,55,19,6,0.78,7,0.23,99,23,50,0.02,71,0.07,99,85,89,104,591,622,93,1075,1111,104,3.04,120,3.04,120,35.9,5.07,132,11.9,99,0.34,133,4543551,TKP COMPLETE 1595,4598233,MISS LOOSLI STOCKMARKET 245,02-01-2022,91
37,517,5174883,LOOSLI LEAD 517,01-25-2025,132,16,73,16,59,33,10,78,0,83,83,7,138,5,0.35,4,1.26,93,24,72,10,80,13,26,6,62,18,14,0.4,56,0.15,92,39,7,-0.04,82,0.01,37,82,90,105,580,633,95,1005,1063,99,2.67,105,2.67,105,33.64,4.65,121,10.04,84,0.26,100,4838476,LOOSLI LEAD OFF 333,4838686,MISS LOOSLI COLLUSION 3123,03-16-2023,98
38,559,5174255,LOOSLI FOREMAN 559,02-04-2025,81,82,48,59,33,86,13,50,-1.6,54,81,9,128,12,0.29,20,1.16,89,24,62,12,88,14,10,8,35,13,73,0.23,92,0,24,27,30,0.23,30,0,14,83,90,105,652,721,108,1005,1078,101,2.22,87,2.22,87,37.97,3.26,85,11.57,96,0.18,70,3744501,5L FOREMAN 2174-370E,4838792,MISS LOOSLI AGENT 332,02-02-2023,103
39,5169,5174471,LOOSLI FLASHDRIVE 5169,03-28-2025,177,1,66,26,112,1,10,75,2,97,104,1,167,1,0.39,1,1.39,97,30,13,18,97,13,24,7,41,17,29,1.07,1,0,23,52,1,0.61,2,0.01,37,85,89,104,562,748,112,1040,1231,115,3.01,119,3.01,119,34.65,5.8,151,13.55,113,0.2,80,4789398,BIEBER FLASHDRIVE L179,4598143,MISS LOOSLI MISSION 2124,03-06-2022,103
40,569,5174275,LOOSLI COLLUSION 569,02-07-2025,106,47,67,24,38,78,17,14,-3,29,69,41,115,30,0.29,21,0.88,69,29,21,4,50,10,75,8,31,18,16,0.22,93,0.09,74,25,37,-0.04,82,0,35,75,76,89,658,668,100,1085,1099,103,2.69,106,2.69,106,36.06,2.99,78,12.99,108,0.21,82,4534673,C-BAR FORTUNE 263J,3571489,MISS LOOSLI FRONTIER 603,01-19-2016,102
41,551,5174239,LOOSLI LEAD 551,02-02-2025,125,22,89,4,36,82,11,69,0.9,91,77,15,132,9,0.34,5,0.97,77,27,41,9,77,14,13,6,66,21,3,0.22,93,0.09,71,21,57,-0.03,80,0.01,45,86,87,102,620,626,94,1175,1187,111,3.49,138,3.49,138,40.4,4.04,105,12.98,108,0.29,113,4838476,LOOSLI LEAD OFF 333,3472253,MISS LOOSLI ON EDGE 565,02-17-2015,102
42,5127,5174387,LOOSLI COMPLETE 5127,03-11-2025,137,13,52,50,85,5,12,60,-2.5,37,80,11,137,5,0.36,3,0.91,71,29,18,8,74,14,15,6,67,14,58,0.67,15,0.21,98,38,8,-0.01,77,0.03,88,78,82,96,605,741,111,1070,1211,113,2.92,115,2.92,115,37.1,5.37,140,11.01,92,0.36,141,4543551,TKP COMPLETE 1595,4598533,MISS LOOSLI TRIAD 2126,03-11-2022,99
43,5164,5174461,LOOSLI FLASHDRIVE 5164,03-26-2025,151,6,59,37,92,2,13,48,-0.8,70,81,9,128,12,0.29,20,1.08,85,22,82,14,92,12,51,8,24,16,32,1,1,0.16,93,39,7,0.27,25,0.05,96,87,87,102,526,653,98,1025,1155,108,3.14,124,3.14,124,35.59,4.65,121,12.08,101,0.29,115,4789398,BIEBER FLASHDRIVE L179,4131854,MISS LOOSLI FRONT LINES 9129,03-17-2019,91
44,544,5174225,LOOSLI COLLUSION 544,01-31-2025,101,55,65,27,35,83,19,6,-2.4,39,61,70,101,59,0.25,47,0.72,52,25,61,7,67,9,91,9,15,19,10,0.32,80,0.08,67,14,79,-0.06,84,0.01,55,80,80,94,679,665,100,1045,1034,97,2.3,91,2.3,91,35.34,3.41,89,12.62,105,0.18,70,4534673,C-BAR FORTUNE 263J,3819681,MISS LOOSLI FRONT LINES 722,02-02-2017,103
45,506,5174157,LOOSLI COLLUSION 506,01-23-2025,139,12,90,4,49,57,19,7,-6,2,51,93,83,90,0.2,81,0.81,63,24,64,1,37,11,60,8,24,22,1,0.84,4,0.18,96,2,96,-0.4,99,0.03,86,79,79,93,644,612,92,995,965,90,2.21,87,2.21,87,34.58,5.13,133,12.51,104,0.39,151,4534673,C-BAR FORTUNE 263J,4131664,MISS LOOSLI TRIAD 936,01-26-2019,99
46,512,5174167,LOOSLI ADVANTAGE 512,01-24-2025,133,15,84,7,50,54,14,37,-2.3,41,88,3,136,6,0.3,15,1.21,92,33,3,2,39,16,3,9,20,16,41,0.45,47,0.05,51,32,18,0.22,33,0.01,47,75,76,89,711,684,103,1120,1096,102,2.57,101,2.57,101,38.61,4.01,104,13.18,110,0.3,116,4766803,VGW ADVANTAGE 343,4276649,LSF SRR CRYSTAL E7400 H0147,02-01-2020,100
47,519,5174179,LOOSLI FLASHDRIVE 519,01-26-2025,124,23,56,42,68,20,15,31,-3.4,22,68,44,117,26,0.31,13,1.28,94,29,21,16,96,12,37,9,14,17,29,0.55,29,0.17,95,35,11,0.32,17,0.06,99,86,87,102,629,617,93,1100,1093,102,2.96,117,2.96,117,35.68,4.36,113,12.16,101,0.27,104,4789398,BIEBER FLASHDRIVE L179,1740211,MISS LOOSLI COUNTRY RDS 5165,05-05-2015,98
48,5128,5174389,LOOSLI FLASHDRIVE 5128,03-11-2025,141,10,59,38,82,6,12,59,-1.8,50,87,3,143,3,0.35,4,1.45,98,33,4,22,99,11,71,8,39,18,12,0.76,8,-0.11,3,32,17,0.64,1,0,28,87,87,102,656,766,115,1070,1183,110,2.6,102,2.6,102,34.1,3.34,87,14.32,119,0.29,113,4789398,BIEBER FLASHDRIVE L179,4281389,MISS LOOSLI MERLIN 050,02-05-2020,105
49,541,5174219,LOOSLI ADVANTAGE 541,01-31-2025,117,31,60,36,58,36,13,44,-3,29,76,18,121,21,0.28,27,1,79,28,25,5,55,13,19,8,27,14,61,0.51,35,0.15,92,33,16,0.04,67,0.03,77,80,80,94,603,597,90,985,982,92,2.4,94,2.4,94,34.34,2.97,77,10.93,91,0.23,89,4766803,VGW ADVANTAGE 343,4281271,MISS LOOSLI TRIAD 017,01-20-2020,94
50,5103,5174339,LOOSLI SUPREMACY 5103,02-24-2025,115,34,57,42,59,33,8,87,-0.2,80,86,4,125,15,0.25,49,0.97,77,28,26,7,71,14,10,5,87,15,49,0.63,19,0.02,34,32,18,0.26,26,0,33,90,90,105,691,747,112,1095,1154,108,2.54,100,2.54,100,37.62,4.11,107,12.96,108,0.3,119,4527725,5L SUPREMACY 459-76J,4131686,MISS LOOSLI TRIAD 947,01-30-2019,105
51,5102,5174337,LOOSLI COMPLETE 5102,02-23-2025,132,16,54,46,78,9,8,88,1,92,75,20,129,12,0.33,7,1,79,30,13,13,90,14,15,6,76,16,36,0.67,15,0.21,98,35,12,0.04,67,0.05,97,93,97,114,608,692,104,995,1083,101,2.43,96,2.43,96,36.08,4.81,125,11.5,96,0.26,104,4543551,TKP COMPLETE 1595,4597955,MISS LOOSLI ULTIMATUM 220,01-27-2022,100
52,536,5174211,LOOSLI FOREMAN 536,01-29-2025,124,23,81,9,43,69,18,9,-3,29,70,35,111,39,0.25,44,1.27,94,25,59,5,55,17,1,10,6,16,33,0.64,18,0.08,64,13,82,0.04,67,0.03,79,68,68,80,599,582,87,1000,986,92,2.52,99,2.52,99,32.77,4.97,129,11.14,93,0.28,109,3744501,5L FOREMAN 2174-370E,4131638,MISS LOOSLI ULTIMATUM 924,01-20-2019,103
53,537,5176843,LOOSLI COLLUSION 537,01-29-2025,158,3,97,2,61,29,19,7,-5.3,5,59,77,94,75,0.21,72,0.71,52,23,75,2,40,11,61,10,4,21,2,0.77,8,0.14,90,15,75,-0.26,98,0.01,49,78,78,,708,687,,1070,1051,,2.28,,2.28,,35.27,2.96,,11.79,,0.25,,4534673,C-BAR FORTUNE 263J,4131658,MISS LOOSLI TRIAD 933,01-24-2019,100
54,5000,5174333,LOOSLI COLLUSION 5000,02-22-2025,114,36,51,53,63,27,15,29,-2.1,44,69,38,109,42,0.25,46,0.88,69,28,26,8,75,10,73,8,29,15,45,0.58,24,0.07,62,28,28,0.2,35,0.02,70,87,87,102,644,690,104,1035,1084,101,2.46,97,2.46,97,34.05,4.11,107,11.87,99,0.24,96,4534673,C-BAR FORTUNE 263J,4131714,MISS LOOSLI PROFIT 959,02-11-2019,105
55,599,5174331,LOOSLI COMPLETE 599,02-20-2025,114,36,44,66,69,17,8,87,-0.8,70,82,8,139,4,0.36,3,1,80,30,11,12,88,13,31,5,81,14,57,0.42,52,0.09,71,37,9,0.19,37,0.01,50,93,93,109,610,645,97,1090,1128,105,3.02,119,3.02,119,38.49,4.16,108,12.36,103,0.18,72,4543551,TKP COMPLETE 1595,3906937,MISS LOOSLI FRONTIER 871,02-19-2018,102
56,518,5174177,LOOSLI COMPLETE 518,01-25-2025,107,45,59,38,48,58,14,37,-3.1,26,67,45,114,33,0.29,22,1.02,81,29,20,11,86,14,16,8,29,16,38,0.58,24,0.18,96,14,80,-0.14,92,0.05,96,78,79,93,581,562,84,1005,990,92,2.67,105,2.67,105,33.64,3.4,88,11.94,99,0.26,100,4543551,TKP COMPLETE 1595,3571588,MISS LOOSLI SAGA 60-6110,03-08-2016,97
57,511,5174165,LOOSLI COMPLETE 511,01-24-2025,123,24,85,6,38,79,17,15,-3.8,17,67,47,114,31,0.3,18,1,79,28,23,11,85,12,39,8,27,21,2,0.44,48,0.09,70,7,92,-0.06,84,0.03,80,85,87,102,610,601,90,985,980,92,2.36,93,2.36,93,33.61,2.84,74,12.14,101,0.19,73,4543551,TKP COMPLETE 1595,4504825,MISS LOOSLI SPARTACUS 144,01-29-2021,98
58,566,5174269,LOOSLI FLASHDRIVE 566,02-06-2025,141,10,89,4,52,47,12,61,-0.5,75,78,13,125,15,0.3,19,1.39,97,32,5,17,97,13,23,8,35,22,1,0.65,17,0.18,96,25,39,-0.1,89,0.03,87,80,80,94,672,674,101,1020,1024,96,2.19,86,2.19,86,32.53,3.68,96,10.15,85,0.28,109,4789398,BIEBER FLASHDRIVE L179,4150418,MISS LOOSLI SILVER 9155,04-02-2019,105
59,546,5174229,LOOSLI LEAD 546,02-01-2025,150,6,115,1,36,82,12,56,-1.1,64,63,65,103,56,0.25,47,0.84,65,26,47,7,66,16,4,9,14,23,1,0.34,77,-0.02,19,11,85,0.16,42,0.01,43,84,85,100,591,595,89,985,994,93,2.48,98,2.48,98,32.87,3.11,81,12.21,102,0.18,70,4838476,LOOSLI LEAD OFF 333,3472283,MISS LOOSLI MEADOWS 556,02-11-2015,100
