Lot #,Id,Reg #,Name,Birthday,bw,bw_a,bw_r,ww_a,ww_r,yw_a,yw_r,ProS,ProS%,herdbuilder,herdbuilder_pr,gridmaster,gridmaster_pr,epd_ced,epd_ced_pr,epd_bw,epd_bw_pr,epd_ww,epd_ww_pr,epd_yw,epd_yw_pr,epd_adg,epd_adg_pr,epd_dmi,epd_dmi_pr,epd_milk,epd_milk_pr,epd_me,epd_me_pr,epd_hpg,epd_hpg_pr,epd_cem,epd_cem_pr,epd_stay,epd_stay_pr,epd_marb,epd_marb_pr,epd_yg,epd_yg_pr,epd_cw,epd_cw_pr,epd_rea,epd_rea_pr,epd_fat,epd_fat_pr,sire_reg#,sire_name,dam_reg#,dam_bdate,dam_name
136,541,5174603,MISS LOOSLI COLLUSION 541,01-31-2025,86,88,110,648,110,897,107,113,37,47,60,65,23,12,63,-1,66,77,17,123,18,0.29,22,0.8,62,22,85,6,63,9,90,6,62,15,49,0.6,23,0.03,39,24,46,0.12,51,0,29,4534673,C-BAR FORTUNE 263J,4516981,03-10-2021,MISS LOOSLI FRONTLINE 1142
137,542,5174605,MISS LOOSLI COMPLETE 542,01-31-2025,82,82,103,604,102,865,103,112,39,45,64,66,21,9,80,-0.8,70,79,11,128,12,0.3,15,1.11,87,32,6,11,84,16,4,5,79,13,73,0.68,14,0.09,72,27,31,0.15,45,0.03,76,4543551,TKP COMPLETE 1595,3906877,01-31-2018,MISS LOOSLI BOURNE 841
138,585,5174687,MISS LOOSLI LOADED 585,02-19-2025,65,65,82,637,108,821,98,108,44,70,20,38,79,19,5,-4.4,11,70,37,114,33,0.28,30,1.12,87,32,6,13,90,13,32,10,5,18,15,0.24,91,0.17,95,35,12,0.15,45,0.05,96,4838552,LOOSLI LOADED 372,3819555,02-24-2017,MISS LOOSLI FRONTIER 767
139,591,5174699,MISS LOOSLI COMPLETE 591,02-23-2025,88,88,110,650,110,933,112,100,56,35,81,65,24,9,86,-0.5,75,84,5,134,7,0.31,12,0.76,57,28,28,8,72,13,21,4,94,13,75,0.6,23,0.09,74,27,32,0.12,51,0.02,74,4543551,TKP COMPLETE 1595,3907033,03-15-2018,MISS LOOSLI BROOK 8108
140,595,5174707,MISS LOOSLI COMPLETE 595,02-24-2025,87,87,109,583,99,817,98,104,49,31,86,74,13,9,80,-0.6,74,77,17,131,9,0.34,5,1.1,86,25,56,14,93,12,39,5,83,13,72,0.61,21,0.13,87,31,19,0.1,55,0.03,79,4543551,TKP COMPLETE 1595,4150402,03-30-2019,MISS LOOSLI FRONTLINE 9147
141,5130,5174777,MISS LOOSLI SUPREMACY 5130,03-14-2025,77,77,97,664,113,900,108,108,44,67,24,41,74,15,28,-3.2,26,82,8,127,13,0.28,25,1.04,83,28,30,9,80,13,23,7,47,17,23,0.45,47,0.08,67,21,56,0.1,55,0.02,74,4527725,5L SUPREMACY 459-76J,4131862,03-19-2019,MISS LOOSLI SPECIAL 9133
142,5169,5174879,MISS LOOSLI COMPLETE 5169,04-13-2025,86,88,110,786,133,1057,126,97,61,23,92,73,13,10,78,-0.9,67,91,1,148,2,0.35,3,1.07,84,31,7,12,90,13,22,6,73,10,93,0.59,23,0.11,79,38,8,0.22,33,0.02,70,4543551,TKP COMPLETE 1595,4521967,05-11-2021,TJS SALEE J165
143,526,5174573,MISS LOOSLI COMPLETE 526,01-27-2025,67,69,87,574,97,850,102,110,41,52,51,58,34,17,17,-4,15,71,31,116,28,0.28,27,0.9,71,26,51,7,66,16,3,8,24,13,76,0.6,23,0.11,81,21,57,0.04,67,0.03,82,4543551,TKP COMPLETE 1595,4516857,01-20-2021,MISS LOOSI BOURNE 115
144,560,5174639,MISS LOOSLI HARD DRIVE 560,02-07-2025,70,72,90,602,102,856,102,112,39,60,35,51,49,16,23,-3.3,24,76,19,122,19,0.29,21,1.05,83,34,2,14,92,13,19,8,34,17,28,0.36,74,-0.01,20,29,25,0.36,11,0.01,37,4704229,PIE HARD DRIVE 2052,4504925,02-03-2021,MISS LOOSLI 802-171
145,566,5174651,MISS LOOSLI COMPLETE 566,02-08-2025,90,90,113,611,104,939,112,84,78,21,94,63,26,9,85,-0.1,81,80,10,131,9,0.32,10,0.82,64,25,61,13,91,12,46,5,87,12,84,0.56,27,0.06,57,23,49,0.17,40,0.02,68,4543551,TKP COMPLETE 1595,3907369,03-25-2018,MISS LOOSLI FRONT LINES 8136
146,579,5174677,MISS LOOSLI COLLUSION 579,02-15-2025,74,74,93,595,101,874,104,107,45,49,57,58,34,16,21,-2.7,34,68,44,108,45,0.25,48,0.92,72,22,85,4,49,10,72,8,37,15,55,0.65,17,0.07,62,20,61,-0.07,85,0,28,4534673,C-BAR FORTUNE 263J,3819531,02-16-2017,MISS LOOSLI REAL DEAL 752
147,587,5174691,MISS LOOSLI COLLUSION 587,02-21-2025,80,81,102,602,102,886,106,110,40,47,60,63,26,12,59,-0.7,73,73,27,118,26,0.28,27,0.81,62,19,97,8,72,9,92,7,49,15,45,0.51,35,0.01,27,27,32,0.14,47,-0.01,9,4534673,C-BAR FORTUNE 263J,4281623,03-14-2020,MISS LOOSLI FRONT LINES 0116
148,594,5174705,MISS LOOSLI PROFITEER 594,02-24-2025,77,77,97,602,102,844,101,98,59,63,30,35,83,12,55,-1.9,49,70,36,112,37,0.26,38,1.14,89,26,43,9,77,12,47,7,60,18,18,0.29,85,0.14,90,29,25,0.06,63,0.03,83,4175072,5L PROFITEER 1117-15G,3819613,02-22-2017,MISS LOOSLI FRONTIER 761
149,5119,5174755,MISS LOOSLI COMPLETE 5119,03-08-2025,78,78,98,578,98,852,102,81,82,20,94,61,30,14,33,-3.2,26,75,21,125,15,0.31,12,1.03,82,34,2,13,91,12,45,8,39,10,91,0.56,27,0.06,59,22,53,0.02,71,0.01,37,4543551,TKP COMPLETE 1595,4131876,03-24-2019,MISS LOOSLI MERLIN 9140
150,5134,5174785,MISS LOOSLI COMPLETE 5134,03-14-2025,78,78,98,594,101,882,105,90,70,34,82,56,39,13,44,-2.3,41,74,25,122,19,0.3,15,0.94,74,33,3,14,93,13,25,7,60,13,73,0.58,24,0.09,74,17,70,-0.05,83,0.02,62,4543551,TKP COMPLETE 1595,4281505,02-21-2020,MISS LOOSLI MERLIN 082
151,5109,5174735,MISS LOOSLI COMPLETE 5109,03-03-2025,72,72,90,580,98,873,104,96,62,48,59,48,59,15,32,-2.8,32,71,33,111,39,0.25,47,0.76,57,30,12,7,69,13,27,7,41,14,64,0.51,35,0.15,92,21,56,-0.06,84,0.03,85,4543551,TKP COMPLETE 1595,4281501,02-20-2020,MISS LOOSLI SILVER 080
152,5152,5174821,MISS LOOSLI SUPREMACY 5152,03-27-2025,82,82,103,605,103,884,106,87,74,54,47,34,85,11,66,-1.6,54,75,20,117,27,0.26,41,1.03,82,24,66,11,86,12,50,6,73,17,28,0.35,75,0.09,70,22,52,0.1,55,0.02,74,4527725,5L SUPREMACY 459-76J,3907495,02-06-2018,MISS LOOSLI FRONT LINES 853
153,533,5174587,MISS LOOSLI ADVANTAGE 533,01-29-2025,84,86,108,569,96,828,99,81,81,35,82,47,62,10,80,-0.5,75,75,20,116,29,0.25,45,1.01,81,27,35,8,71,12,49,6,77,13,77,0.48,40,0.11,82,28,29,0,75,0.01,55,4766803,VGW ADVANTAGE 343,4516889,03-12-2021,MISS LOOSLI FRONTLINE 1144
154,5110,5174737,MISS LOOSLI ADVANTAGE 5110,03-03-2025,86,86,108,572,97,870,104,96,61,49,57,47,60,11,71,-1,66,80,10,123,18,0.27,34,0.92,73,23,76,7,71,12,46,7,60,14,59,0.41,54,0.12,84,32,17,0.03,69,0.01,50,4766803,VGW ADVANTAGE 343,3907349,03-26-2018,MISS LOOSLI FRONT LINES 8142
155,5101,5174719,MISS LOOSLI COMPLETE 5101,02-26-2025,87,87,109,604,102,860,103,94,65,41,72,53,45,9,85,-0.2,80,76,19,124,16,0.3,15,1.14,89,31,9,12,89,13,32,5,86,15,55,0.46,45,0.12,85,29,26,0.04,67,0.02,68,4543551,TKP COMPLETE 1595,3819727,03-14-2017,MISS LOOSLI FRONTIER 793
156,599,5174715,MISS LOOSLI COLLUSION 599,02-25-2025,87,89,112,616,104,909,109,107,46,50,54,57,38,11,65,-0.3,79,74,22,125,16,0.31,12,1,80,26,49,10,82,12,43,6,74,16,39,0.53,32,0.14,88,23,51,-0.08,87,0.02,66,4534673,C-BAR FORTUNE 263J,4516987,02-24-2021,MISS LOOSLI ULTIMATUM 1115
157,5143,5174803,MISS LOOSLI HARD DRIVE 5143,03-21-2025,85,89,112,603,102,897,107,102,53,45,65,57,37,12,63,-1.9,49,84,5,132,8,0.3,16,1,79,28,31,13,91,14,17,5,84,15,53,0.39,63,-0.06,7,34,14,0.53,3,0,33,4704229,PIE HARD DRIVE 2052,4598371,03-14-2022,MISS LOOSLI IMPETUS 2129
158,525,5174571,MISS LOOSLI COLLUSION 525,01-27-2025,88,90,113,614,104,892,107,105,49,50,55,55,41,8,87,0.7,90,74,24,118,25,0.28,28,0.82,63,23,73,5,59,12,48,4,89,16,42,0.58,24,0.13,86,20,60,-0.12,91,0.02,59,4534673,C-BAR FORTUNE 263J,4516879,02-05-2021,MISS LOOSLI ULTIMATUM 175
159,5165,5174847,MISS LOOSLI ADVANTAGE 5165,04-04-2025,92,92,115,655,111,936,112,93,67,47,61,46,64,8,87,0,83,87,3,132,9,0.28,27,1.23,92,34,2,8,74,14,16,5,84,14,70,0.45,47,0.11,82,35,11,0,75,0,28,4766803,VGW ADVANTAGE 343,4281521,02-27-2020,MISS LOOSLI TOP LINE 090
160,568,5174655,MISS LOOSLI COMPLETE 568,02-09-2025,88,88,110,578,98,840,100,85,78,39,75,45,65,10,79,-1.1,64,72,28,119,24,0.29,22,0.8,61,30,15,7,71,13,27,5,83,13,72,0.44,48,0.17,95,19,62,-0.12,91,0.03,87,4543551,TKP COMPLETE 1595,4131650,01-22-2019,MISS LOOSLI FRONTIER 930
161,567,5174653,MISS LOOSLI LEAD 567,02-09-2025,73,73,92,557,94,849,102,109,43,81,9,27,92,15,28,-3,29,71,34,116,29,0.28,25,1.1,86,27,39,7,66,14,10,8,24,18,13,0.24,91,0.12,84,20,59,-0.03,80,0.03,76,4838476,LOOSLI LEAD OFF 333,4131726,02-15-2019,MISS LOOSLI SAGA 965
162,5142,5174801,MISS LOOSLI COLLUSION 5142,03-21-2025,77,77,97,553,94,865,103,134,15,70,20,63,26,14,35,-2.5,37,71,32,117,27,0.29,23,1.16,90,24,66,6,64,11,58,8,25,18,18,0.63,19,0.12,83,27,31,-0.07,85,0.01,38,4534673,C-BAR FORTUNE 263J,4131840,03-13-2019,MISS LOOSLI TRIAD 9122
163,539,5174599,MISS LOOSLI COLLUSION 539,01-29-2025,73,73,92,551,93,806,96,128,19,74,16,55,41,17,15,-3.6,19,64,60,102,57,0.24,54,0.8,62,23,76,3,46,11,53,9,14,18,17,0.53,32,0.1,78,23,50,-0.03,80,0.01,52,4534673,C-BAR FORTUNE 263J,4281287,01-24-2020,MISS LOOSLI TRIAD 025
164,538,5174597,MISS LOOSLI FOREMAN 538,01-29-2025,60,68,85,559,95,847,101,115,34,69,22,47,62,19,5,-4.7,8,71,32,117,27,0.29,23,1.08,85,22,87,8,72,15,6,10,4,16,42,0.43,51,0.12,84,23,48,0.05,65,0.03,83,3744501,5L FOREMAN 2174-370E,4838876,02-19-2023,MISS LOOSLI AGENT 374
165,547,5174613,MISS LOOSLI COMPLETE 547,02-02-2025,86,86,108,550,93,848,101,102,52,48,60,55,41,9,85,-0.4,77,76,18,124,17,0.3,18,0.97,77,25,55,10,81,14,10,5,83,14,58,0.51,35,0.08,68,23,49,-0.02,79,0.01,37,4543551,TKP COMPLETE 1595,3571520,02-06-2016,MISS LOOSLI REDEMPT 414-638
